"Source:","/home/jerryo/kicad/audio_pwr_amp/audio_pwr_amp_r3/audio_pwr_amp_r3.kicad_sch"
"Date:","Fri 04 Oct 2024 04:06:32 PM PDT"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Vendor","Vendor Part#"
"1","4","C1, C5, C12, C15","1000uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","CAP ALUM POLY 1000UF 20% 25V TH","Digikey","399-A750MV108M1EAAE014-ND"
"2","5","C2, C3, C6, C16, C17","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 10uF, 25V, X7R, 0805","Digikey","1276-6454-1-ND "
"3","1","C4","10nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 10nF, 25V, X7R, 0805","Digikey","399-14402-1-ND "
"4","1","C8","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER 22UF 25V X5R 0805","Digikey","1276-CL21A226MAYNNNECT-ND "
"5","1","C9","0.22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 0.22uF, 25V, X7R, 1206","Digikey","1276-1161-1-ND "
"6","5","C10, C18, C19, C21, C22","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 0.1uF, 25V, X7R, 0805","Digikey","1276-1099-1-ND "
"7","3","C11, C13, C14","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","CAP CER, 4.7uF, 25V, X7R, 0805","Digikey","1276-1244-1-ND "
"8","2","D1, D2","RED_LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://sunledusa.com/products/spec/XZM2CRK55W-3.pdf","","LED RED CLEAR SMD  1206 ","Digikey","1497-XZM2CRK55W-3RTCT-ND"
"9","2","FB1, FB2","FERRITE CORE SOLID 1.30MM","Device:FerriteBead_Small","Inductor_THT:L_Axial_L14.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_LACC","https://www.fair-rite.com/wp-content/uploads/2019/12/2673000701cat.pdf","","FERRITE CORE SOLID 1.30MM","Digikey","1934-1292-ND"
"10","1","HS1","Heatsink_Pad_2Pin","Mechanical:Heatsink_Pad_2Pin","jerrys_Library:Heatsink_Audio_Amp","~","","","",""
"11","1","J1","Audio In","audio_connector:AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","","","CONN JACK STEREO 3.5MM SMD R/A","Digikey","CP-3524SJBECT-ND"
"12","1","Q1","DMG2301L","Transistor_FET:DMG2301L","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/DMG2301L.pdf","","MOSFET P-CH 20V 3A SOT23","Digikey","DMG2301L-7DICT-ND "
"13","2","R1, R3","100R","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","RES 100 OHM 1% 1/8W 0805","Digikey","RMCF0805FT100RCT-ND "
"14","1","R2","0R","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","RES 0 OHM JUMPER 1/8W 0805","Digikey","311-0.0ARCT-ND"
